benchmark,warmup_iter,iter,name,command,duration,lines,env
subtitles_ru_literal,1,3,rg (no mmap),rg --no-mmap Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,1.0624945163726807,583,
subtitles_ru_literal,1,3,rg (lines),rg -n Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,1.0156335830688477,583,
subtitles_ru_literal,1,3,rg (lines),rg -n Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,0.8749864101409912,583,
subtitles_ru_literal,1,3,rg (lines),rg -n Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,0.9062762260437012,583,
subtitles_ru_literal_casei,1,3,rg,rg -i Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.390628099441528,604,
subtitles_ru_literal_casei,1,3,rg,rg -i Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.39069938659668,604,
subtitles_ru_literal_casei,1,3,rg,rg -i Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.390637636184692,604,
subtitles_ru_literal_casei,1,3,rg (lines),rg -n -i Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.6406145095825195,604,
subtitles_ru_literal_casei,1,3,rg (lines),rg -n -i Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.62498664855957,604,
subtitles_ru_literal_casei,1,3,rg (lines),rg -n -i Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,4.624973297119141,604,
subtitles_ru_literal_word,1,3,rg (ASCII),rg -n (?-u:\b)Шерлок Холмс(?-u:\b) C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,0.625002384185791,,
subtitles_ru_literal_word,1,3,rg (ASCII),rg -n (?-u:\b)Шерлок Холмс(?-u:\b) C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,0.6250066757202148,,
subtitles_ru_literal_word,1,3,rg (ASCII),rg -n (?-u:\b)Шерлок Холмс(?-u:\b) C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,0.6093332767486572,,
subtitles_ru_literal_word,1,3,rg,rg -nw Шерлок Холмс C:\Users\ianskerins\ripgrep\benchsuite\subtitles\OpenSubtitles2016.raw.ru,0.8281075954437256,579,
